0 0.5
1 0.492325
2 0.50673
3 0.469371
4 0.527595
5 0.5362
6 0.467218
7 0.345402
8 0.548704
9 0.504057
10 0.441204
11 0.519033
12 0.447118
13 0.550238
14 0.519933
15 0.450825
16 0.48907
17 0.557223
18 0.464947
19 0.422673
20 0.543524
21 0.504118
22 0.508689
23 0.5193
24 0.484812
25 0.56618
26 0.484875
27 0.448576
28 0.590522
29 0.536444
30 0.545465
31 0.610187
32 0.548423
33 0.541062
34 0.550685
35 0.539196
36 0.493592
37 0.546681
38 0.441073
39 0.579398
40 0.459374
41 0.464489
42 0.504379
43 0.528296
44 0.537472
45 0.549366
46 0.560427
47 0.515788
48 0.52522
49 0.511096
50 0.424079
51 0.512267
52 0.437519
53 0.516264
54 0.443496
55 0.533877
56 0.476269
57 0.488674
58 0.516658
59 0.502115
60 0.529882
61 0.530291
62 0.497834
63 0.504036
64 0.435061
65 0.595672
66 0.460382
67 0.40141
68 0.461641
69 0.440791
70 0.451315
71 0.594381
72 0.539562
73 0.590798
74 0.452445
75 0.418953
76 0.500268
77 0.465311
78 0.482313
79 0.492096
80 0.49635
81 0.429534
82 0.501812
83 0.561222
84 0.480881
85 0.500653
86 0.515208
87 0.515418
88 0.580022
89 0.508055
90 0.468454
91 0.424079
92 0.544254
93 0.520832
94 0.502051
95 0.42791
96 0.377087
97 0.561661
98 0.515568
99 0.49514
